"filename", "language", "Lua", "C#", "Markdown", "YAML", "comment", "blank", "total"
"/workspace/.devcontainer/docker-compose.yml", "YAML", 0, 0, 0, -1, 0, 0, -1
"/workspace/FinisServer/Configurations/Database/FinisDbContext.cs", "C#", 0, 53, 0, 0, 2, 8, 63
"/workspace/FinisServer/Configurations/Database/Interceptors/TimeInterceptor.cs", "C#", 0, 8, 0, 0, 0, 1, 9
"/workspace/FinisServer/Configurations/Database/Redis/ClearExpiredTicks.lua", "Lua", 28, 0, 0, 0, 4, 3, 35
"/workspace/FinisServer/Configurations/Database/TestDbContext.cs", "C#", 0, 38, 0, 0, 8, 5, 51
"/workspace/FinisServer/Controllers/ArticleController.cs", "C#", 0, 25, 0, 0, 0, 3, 28
"/workspace/FinisServer/Models/Dtos/ArticlePostDto.cs", "C#", 0, 1, 0, 0, 0, 0, 1
"/workspace/FinisServer/Models/Dtos/LlmMessageDto.cs", "C#", 0, 2, 0, 0, 0, 0, 2
"/workspace/FinisServer/Models/Entities/Article.cs", "C#", 0, 2, 0, 0, 0, 0, 2
"/workspace/FinisServer/Models/Entities/ArticleBookmarkRecord.cs", "C#", 0, 1, 0, 0, 0, 1, 2
"/workspace/FinisServer/Models/Entities/ArticleVector.cs", "C#", 0, 2, 0, 0, 0, 1, 3
"/workspace/FinisServer/Models/Entities/Tag.cs", "C#", 0, 6, 0, 0, 0, 1, 7
"/workspace/FinisServer/Models/Entities/TestEntities/TestArticle.cs", "C#", 0, 35, 0, 0, 0, 10, 45
"/workspace/FinisServer/Models/Entities/TestEntities/TestTag.cs", "C#", 0, 15, 0, 0, 0, 3, 18
"/workspace/FinisServer/Models/Enums/ArticleCategory.cs", "C#", 0, -4, 0, 0, 0, 0, -4
"/workspace/FinisServer/Program.cs", "C#", 0, 79, 0, 0, 6, 4, 89
"/workspace/FinisServer/Services/IArticleService.cs", "C#", 0, 4, 0, 0, 0, -1, 3
"/workspace/FinisServer/Services/IQwenService.cs", "C#", 0, 2, 0, 0, 0, 2, 4
"/workspace/FinisServer/Services/IRankingService.cs", "C#", 0, 8, 0, 0, 4, 4, 16
"/workspace/FinisServer/Services/IUserService.cs", "C#", 0, 1, 0, 0, 0, 1, 2
"/workspace/FinisServer/Services/Impl/ArticleService.cs", "C#", 0, 150, 0, 0, 1, 4, 155
"/workspace/FinisServer/Services/Impl/QwenService.cs", "C#", 0, 45, 0, 0, 58, 4, 107
"/workspace/FinisServer/Services/Impl/RankingService.cs", "C#", 0, 98, 0, 0, 5, 18, 121
"/workspace/FinisServer/Services/Impl/UserService.cs", "C#", 0, 6, 0, 0, 0, 0, 6
"/workspace/FinisServerTest/TestResources/Test.md", "Markdown", 0, 0, 58, 0, 0, 21, 79
"/workspace/FinisServerTest/UnitTest1.cs", "C#", 0, -49, 0, 0, 0, -2, -51
"Total", "-", 28, 528, 58, -1, 88, 91, 792
