"filename", "language", "C#", "Lua", "XML", "JSON", "JSON with Comments", "Markdown", "YAML", "Properties", "comment", "blank", "total"
"/workspace/.devcontainer/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/workspace/.devcontainer/devcontainer.json", "JSON with Comments", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/workspace/.devcontainer/docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 51, 0, 0, 2, 53
"/workspace/FinisServer/Configurations/Database/FinisDbContext.cs", "C#", 210, 0, 0, 0, 0, 0, 0, 0, 28, 14, 252
"/workspace/FinisServer/Configurations/Database/Interceptors/TimeInterceptor.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"/workspace/FinisServer/Configurations/Database/Redis/ClearExpiredTicks.lua", "Lua", 0, 28, 0, 0, 0, 0, 0, 0, 4, 3, 35
"/workspace/FinisServer/Configurations/Database/TestDbContext.cs", "C#", 38, 0, 0, 0, 0, 0, 0, 0, 8, 5, 51
"/workspace/FinisServer/Configurations/GlobalExceptionHandler.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/workspace/FinisServer/Configurations/Options/JwtOptions.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"/workspace/FinisServer/Configurations/Options/PostgresOptions.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/workspace/FinisServer/Configurations/Options/QwenOptions.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/workspace/FinisServer/Configurations/Options/RedisOptions.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/workspace/FinisServer/Controllers/ArticleController.cs", "C#", 84, 0, 0, 0, 0, 0, 0, 0, 0, 12, 96
"/workspace/FinisServer/Controllers/LargeModelController.cs", "C#", 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/workspace/FinisServer/Controllers/ResourceController.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"/workspace/FinisServer/Controllers/UserController.cs", "C#", 64, 0, 0, 0, 0, 0, 0, 0, 0, 8, 72
"/workspace/FinisServer/FinisServer.csproj", "XML", 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"/workspace/FinisServer/Interfaces/IAuditEntity.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/workspace/FinisServer/Models/Constants.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/workspace/FinisServer/Models/Dtos/ArticleCategoryDto.cs", "C#", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/workspace/FinisServer/Models/Dtos/ArticleDetailDto.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/workspace/FinisServer/Models/Dtos/ArticleInfoDto.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/workspace/FinisServer/Models/Dtos/ArticlePostDto.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/workspace/FinisServer/Models/Dtos/ChatRequestDto.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/workspace/FinisServer/Models/Dtos/ChatWithArticleRequestDto.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/workspace/FinisServer/Models/Dtos/CommentDetailDto.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/workspace/FinisServer/Models/Dtos/CommentPostDto.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/workspace/FinisServer/Models/Dtos/LlmMessageDto.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/workspace/FinisServer/Models/Dtos/PathDto.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/workspace/FinisServer/Models/Dtos/TextEmbeddingPostDto.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/workspace/FinisServer/Models/Dtos/TextEmbeddingResultDto.cs", "C#", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/workspace/FinisServer/Models/Dtos/TokenCreateDto.cs", "C#", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/workspace/FinisServer/Models/Dtos/TokenDto.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/workspace/FinisServer/Models/Dtos/UrlDto.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/workspace/FinisServer/Models/Dtos/UserInfoDto.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/workspace/FinisServer/Models/Dtos/UserLoginDto.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/workspace/FinisServer/Models/Dtos/UserRegisterDto.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/workspace/FinisServer/Models/Dtos/UserSettingDto.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/workspace/FinisServer/Models/Entities/Article.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 0, 40, 10, 72
"/workspace/FinisServer/Models/Entities/ArticleBookmarkRecord.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/workspace/FinisServer/Models/Entities/ArticleContent.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/workspace/FinisServer/Models/Entities/ArticleLikeRecord.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/workspace/FinisServer/Models/Entities/ArticleVector.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/workspace/FinisServer/Models/Entities/Comment.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/workspace/FinisServer/Models/Entities/CommentLikeRecord.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/workspace/FinisServer/Models/Entities/FinisJwtClaimTypes.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/workspace/FinisServer/Models/Entities/Tag.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/workspace/FinisServer/Models/Entities/TestEntities/TestArticle.cs", "C#", 35, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
"/workspace/FinisServer/Models/Entities/TestEntities/TestTag.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/workspace/FinisServer/Models/Entities/User.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 57, 3, 80
"/workspace/FinisServer/Models/Entities/UserFollowRecord.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/workspace/FinisServer/Models/Enums/ArticleCategory.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/workspace/FinisServer/Models/Enums/LikeRecordType.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/workspace/FinisServer/Models/Enums/UserRole.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/workspace/FinisServer/Models/Exceptions/AuthenticationException.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/workspace/FinisServer/Models/Exceptions/BusinessException.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/workspace/FinisServer/Models/Exceptions/FinisException.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/workspace/FinisServer/Models/Exceptions/HttpContextException.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/workspace/FinisServer/Models/Exceptions/InvalidUploadFileException.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/workspace/FinisServer/Models/Exceptions/ResourceNotFoundException.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/workspace/FinisServer/Models/Extensions.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/workspace/FinisServer/Models/Result.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/workspace/FinisServer/Program.cs", "C#", 192, 0, 0, 0, 0, 0, 0, 0, 24, 20, 236
"/workspace/FinisServer/Properties/launchSettings.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"/workspace/FinisServer/Services/IArticleService.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/workspace/FinisServer/Services/IFinisHttpContext.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/workspace/FinisServer/Services/IQwenService.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/workspace/FinisServer/Services/IRankingService.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 4, 4, 16
"/workspace/FinisServer/Services/IResourceService.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/workspace/FinisServer/Services/ITokenService.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/workspace/FinisServer/Services/IUserService.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/workspace/FinisServer/Services/Impl/ArticleService.cs", "C#", 359, 0, 0, 0, 0, 0, 0, 0, 3, 12, 374
"/workspace/FinisServer/Services/Impl/FinisHttpContext.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/workspace/FinisServer/Services/Impl/QwenService.cs", "C#", 328, 0, 0, 0, 0, 0, 0, 0, 59, 13, 400
"/workspace/FinisServer/Services/Impl/RankingService.cs", "C#", 98, 0, 0, 0, 0, 0, 0, 0, 5, 18, 121
"/workspace/FinisServer/Services/Impl/ResourceService.cs", "C#", 64, 0, 0, 0, 0, 0, 0, 0, 0, 7, 71
